ID_Botijao,Data,Hora,Estoque_Atual,Total_Distribuido,Distribuicao_Diaria,Limite_Reposicao,Capacidade_Botijao,Taxa_Uso_Diario,Previsao_Esgotamento_Dias,Tipo_Cliente,Custo_Reposicao,Preco_Venda,Margem_Lucro,Rota_Entrega,Tempo_Entrega,Distancia_Percorrida,Tipo_Produto,Marca_Produto,Região_Atendimento,Canal_Venda,Programa_Fidelidade,Temperatura,Satisfacao_Cliente,Tempo_Espera,Metodo_Pagamento
F2630,2025-01-01,07:12,58,741,40,117,20kg,0.54,1.2,Residencial,127.47,174.86,39.56,Rondônia-Rota-08,99,20.4,GLP Comercial,Fogás,Rondônia,Revenda,513,30.4,3,34.5,Dinheiro
F9655,2025-01-01,09:03,411,309,60,274,20kg,0.36,5.0,Residencial,109.9,149.49,21.81,Acre-Rota-08,48,33.2,GLP Residencial,Ultragaz,Acre,Revenda,827,32.8,1,43.5,Cartão
F4609,2025-01-01,18:45,234,748,77,204,190kg,0.1,3.6,Comercial,81.17,151.78,28.49,Amazonas-Rota-09,66,50.3,GLP Industrial,Fogás,Amazonas,Revenda,590,33.4,4,47.0,Cartão
F3022,2025-01-01,12:01,164,767,23,294,13kg,0.26,9.6,Industrial,125.77,124.96,43.27,Acre-Rota-08,61,55.2,GLP Granel,Fogás,Acre,E-commerce,44,33.8,1,35.6,Cartão
F3892,2025-01-01,10:33,179,319,23,219,45kg,0.38,3.5,Residencial,118.08,183.25,24.49,Amapá-Rota-08,69,90.1,GLP Granel,Ultragaz,Amapá,Revenda,205,33.3,3,6.5,PIX
F2082,2025-01-01,09:40,388,661,74,264,20kg,0.12,8.5,Industrial,133.25,195.81,39.61,Amapá-Rota-03,62,73.2,GLP Industrial,Fogás,Amapá,Revenda,832,32.9,5,37.0,Boleto
F1353,2025-01-01,15:22,397,361,24,225,45kg,0.55,7.1,Condomínio,97.99,90.32,34.74,Amazonas-Rota-04,46,68.4,GLP Residencial,Fogás,Amazonas,Revenda,153,32.8,2,22.9,PIX
F2628,2025-01-01,20:31,150,630,77,221,13kg,0.38,6.2,Residencial,114.53,106.43,11.44,Amazonas-Rota-07,37,26.1,GLP Industrial,Fogás,Amazonas,E-commerce,328,32.4,2,15.6,Dinheiro
F1507,2025-01-01,13:30,439,555,97,134,13kg,0.16,8.2,Condomínio,148.74,114.42,37.81,Amazonas-Rota-03,86,84.8,GLP Residencial,Fogás,Amazonas,Venda Direta,861,32.2,2,7.9,Cartão
F4411,2025-01-01,07:43,454,984,76,250,13kg,0.4,1.8,Residencial,122.23,120.39,18.84,Amazonas-Rota-09,116,98.7,GLP Residencial,Ultragaz,Amazonas,Venda Direta,668,32.3,2,12.2,PIX
F5290,2025-01-01,10:03,332,536,71,138,190kg,0.33,1.7,Residencial,122.54,197.42,36.16,Roraima-Rota-03,70,64.5,GLP Comercial,Fogás,Roraima,Revenda,68,33.4,2,47.7,Dinheiro
F6991,2025-01-01,19:25,124,591,89,249,45kg,0.42,7.3,Comercial,141.3,183.68,46.77,Acre-Rota-04,47,56.5,GLP Residencial,Fogás,Acre,Venda Direta,86,30.9,5,32.1,Boleto
F5424,2025-01-01,14:00,395,345,81,269,45kg,0.33,1.9,Residencial,104.14,171.88,48.98,Acre-Rota-05,77,63.0,GLP Residencial,Fogás,Acre,Venda Direta,74,30.7,2,26.3,PIX
F7211,2025-01-01,14:25,375,708,93,166,20kg,0.47,8.1,Residencial,115.68,145.68,13.5,Amazonas-Rota-08,104,73.3,GLP Comercial,Fogás,Amazonas,Venda Direta,917,33.0,5,9.3,Boleto
F2231,2025-01-01,12:40,375,780,43,241,20kg,0.2,4.6,Condomínio,77.13,152.3,46.07,Amapá-Rota-05,62,63.2,GLP Comercial,Fogás,Amapá,Venda Direta,356,30.4,4,33.3,Cartão
F3646,2025-01-01,09:05,116,296,32,270,190kg,0.53,3.3,Comercial,97.83,132.8,12.19,Roraima-Rota-06,115,91.9,GLP Granel,Fogás,Roraima,Venda Direta,303,30.8,3,28.8,Cartão
F2319,2025-01-01,09:22,427,210,50,145,20kg,0.11,7.4,Condomínio,86.35,98.1,31.09,Acre-Rota-04,79,26.8,GLP Residencial,Ultragaz,Acre,Revenda,920,31.3,3,32.6,Cartão
F9693,2025-01-01,20:32,56,529,71,236,13kg,0.37,3.6,Comercial,99.74,147.1,20.81,Amapá-Rota-04,116,77.6,GLP Granel,Ultragaz,Amapá,Revenda,625,30.1,5,38.9,PIX
F9297,2025-01-01,07:04,415,471,93,248,190kg,0.41,2.4,Industrial,131.47,120.58,15.41,Acre-Rota-03,112,74.0,GLP Industrial,Fogás,Acre,Revenda,528,30.4,1,11.8,Boleto
F1153,2025-01-01,13:32,54,849,61,104,45kg,0.39,1.5,Industrial,117.52,102.9,20.71,Amapá-Rota-05,77,23.6,GLP Residencial,Fogás,Amapá,Venda Direta,953,31.1,2,24.6,Dinheiro
F6472,2025-01-01,06:56,327,865,24,129,190kg,0.15,7.4,Comercial,142.99,156.7,12.49,Amazonas-Rota-08,23,84.6,GLP Residencial,Fogás,Amazonas,E-commerce,367,32.2,4,43.1,Dinheiro
F7812,2025-01-01,09:58,175,410,36,194,13kg,0.22,9.0,Condomínio,102.76,153.64,44.96,Rondônia-Rota-04,107,40.3,GLP Residencial,Fogás,Rondônia,Revenda,995,32.3,3,3.6,Dinheiro
F6421,2025-01-01,07:13,415,446,22,100,20kg,0.56,8.1,Industrial,81.6,92.3,41.11,Acre-Rota-09,66,71.1,GLP Granel,Fogás,Acre,Venda Direta,521,31.9,2,33.0,Cartão
F7077,2025-01-01,17:22,112,287,46,221,45kg,0.4,5.6,Industrial,85.18,183.7,39.67,Acre-Rota-01,22,31.4,GLP Comercial,Fogás,Acre,Venda Direta,419,30.5,3,15.7,PIX
F3418,2025-01-01,21:28,204,389,72,114,13kg,0.17,8.9,Comercial,90.45,126.85,17.46,Rondônia-Rota-04,20,70.3,GLP Industrial,Ultragaz,Rondônia,Revenda,25,31.0,2,33.2,Cartão
F9591,2025-01-01,11:06,324,329,69,224,20kg,0.32,1.4,Residencial,92.74,143.13,18.67,Acre-Rota-05,20,21.7,GLP Comercial,Fogás,Acre,Venda Direta,316,33.0,1,6.2,PIX
F4343,2025-01-01,14:30,187,733,89,189,45kg,0.54,7.0,Residencial,96.13,164.93,29.72,Acre-Rota-02,118,18.9,GLP Industrial,Fogás,Acre,Revenda,386,31.5,1,2.0,Dinheiro
F3688,2025-01-01,20:00,282,681,26,281,13kg,0.53,1.8,Industrial,91.06,136.94,32.43,Rondônia-Rota-09,41,99.8,GLP Granel,Fogás,Rondônia,Venda Direta,318,32.0,2,18.1,Cartão
F3913,2025-01-01,12:02,426,508,90,103,190kg,0.27,3.1,Residencial,138.79,187.33,27.84,Rondônia-Rota-01,97,58.1,GLP Industrial,Fogás,Rondônia,Venda Direta,989,33.9,2,6.0,PIX
F7349,2025-01-01,15:14,477,257,79,268,45kg,0.25,5.2,Comercial,95.74,197.33,27.99,Amapá-Rota-04,112,85.1,GLP Granel,Fogás,Amapá,Revenda,279,30.5,4,46.2,Cartão
F2254,2025-01-01,08:05,453,267,64,297,45kg,0.3,1.3,Industrial,84.57,139.5,21.98,Roraima-Rota-01,58,99.3,GLP Comercial,Fogás,Roraima,Revenda,776,32.2,5,44.3,Boleto
F3813,2025-01-02,10:02,256,857,37,141,45kg,0.24,8.0,Residencial,141.5,119.3,40.07,Amapá-Rota-01,95,66.8,GLP Comercial,Fogás,Amapá,Revenda,445,23.4,5,12.5,Cartão
F2586,2025-01-02,16:11,490,718,92,144,13kg,0.14,5.7,Residencial,92.34,181.01,41.85,Amapá-Rota-08,118,98.8,GLP Residencial,Fogás,Amapá,E-commerce,209,23.4,3,32.4,PIX
F9091,2025-01-02,13:30,437,437,55,233,190kg,0.27,8.0,Residencial,125.07,116.73,49.51,Amazonas-Rota-05,26,7.3,GLP Comercial,Fogás,Amazonas,Venda Direta,752,25.2,3,26.7,Cartão
F6916,2025-01-02,17:14,337,484,46,102,13kg,0.28,1.7,Comercial,94.54,140.49,46.76,Rondônia-Rota-06,71,44.1,GLP Industrial,Fogás,Rondônia,Venda Direta,384,23.4,3,14.6,Boleto
F6267,2025-01-02,20:53,499,732,50,274,20kg,0.53,8.2,Industrial,116.5,142.19,14.24,Acre-Rota-09,112,20.7,GLP Industrial,Ultragaz,Acre,Revenda,631,26.6,2,10.2,Dinheiro
F4366,2025-01-02,08:15,330,912,75,219,20kg,0.55,5.3,Residencial,79.48,175.95,33.35,Roraima-Rota-06,106,40.1,GLP Comercial,Fogás,Roraima,Revenda,714,26.5,5,27.0,PIX
F3838,2025-01-02,09:12,489,628,43,256,190kg,0.5,1.8,Industrial,130.45,126.3,42.99,Rondônia-Rota-02,113,61.6,GLP Comercial,Fogás,Rondônia,Venda Direta,445,23.3,4,14.8,Cartão
F1585,2025-01-02,20:21,132,854,24,123,20kg,0.19,3.1,Comercial,117.97,119.84,16.87,Acre-Rota-08,117,91.4,GLP Industrial,Fogás,Acre,E-commerce,13,25.1,1,3.4,PIX
F7203,2025-01-02,12:57,415,220,94,134,45kg,0.45,6.5,Industrial,109.62,191.24,23.0,Amazonas-Rota-02,101,66.7,GLP Comercial,Fogás,Amazonas,Revenda,179,23.8,3,23.5,Dinheiro
F1033,2025-01-02,06:39,292,972,77,173,13kg,0.14,2.8,Condomínio,85.53,177.32,43.12,Amazonas-Rota-05,21,38.7,GLP Granel,Fogás,Amazonas,Venda Direta,822,26.2,3,18.3,Boleto
F3886,2025-01-02,08:10,246,292,40,115,45kg,0.34,8.1,Industrial,76.83,129.71,12.27,Amazonas-Rota-06,110,89.8,GLP Industrial,Fogás,Amazonas,Revenda,231,25.7,1,23.4,PIX
F9954,2025-01-02,15:53,289,805,58,287,20kg,0.25,7.5,Residencial,102.6,165.93,22.29,Rondônia-Rota-09,108,82.6,GLP Granel,Fogás,Rondônia,Revenda,401,26.6,2,40.3,Cartão
F6912,2025-01-02,16:52,226,995,77,277,45kg,0.39,9.6,Residencial,138.47,160.68,23.79,Amapá-Rota-02,104,71.0,GLP Granel,Fogás,Amapá,Venda Direta,209,26.9,4,16.2,Cartão
F2974,2025-01-02,16:20,435,471,84,128,20kg,0.19,7.9,Condomínio,78.96,190.0,39.84,Amapá-Rota-03,107,86.2,GLP Residencial,Fogás,Amapá,Venda Direta,257,24.9,1,1.8,Cartão
F7634,2025-01-02,21:59,416,996,75,186,45kg,0.5,3.9,Residencial,126.94,125.8,13.33,Amazonas-Rota-03,86,76.8,GLP Comercial,Fogás,Amazonas,E-commerce,65,24.0,4,1.5,Cartão
F1055,2025-01-02,20:21,391,301,89,132,13kg,0.3,1.7,Industrial,110.61,91.65,22.45,Roraima-Rota-09,111,14.8,GLP Residencial,Ultragaz,Roraima,Revenda,213,25.9,3,36.0,PIX
F3847,2025-01-02,07:07,156,329,90,198,190kg,0.28,6.1,Residencial,87.93,176.87,31.02,Rondônia-Rota-08,30,72.4,GLP Comercial,Fogás,Rondônia,Revenda,81,25.9,3,42.2,Dinheiro
F5991,2025-01-02,07:54,304,509,62,280,20kg,0.52,2.3,Condomínio,75.73,156.9,44.4,Acre-Rota-07,117,29.9,GLP Granel,Fogás,Acre,Revenda,17,26.1,1,45.2,Cartão
F3575,2025-01-02,09:34,105,721,81,284,13kg,0.32,2.5,Industrial,92.01,191.34,48.03,Roraima-Rota-04,67,27.0,GLP Granel,Ultragaz,Roraima,Revenda,687,24.2,3,29.9,PIX
F1679,2025-01-02,18:30,306,648,97,164,45kg,0.46,9.1,Residencial,73.92,179.41,41.86,Amazonas-Rota-04,31,64.7,GLP Residencial,Fogás,Amazonas,Venda Direta,844,24.8,5,5.2,Boleto
F3068,2025-01-02,06:39,227,723,46,151,13kg,0.38,7.7,Condomínio,141.36,98.8,14.76,Roraima-Rota-04,40,65.6,GLP Granel,Fogás,Roraima,Venda Direta,566,26.1,3,15.3,Cartão
F3078,2025-01-02,10:40,145,318,66,238,190kg,0.41,2.4,Residencial,85.06,185.82,18.31,Amazonas-Rota-03,85,97.3,GLP Granel,Ultragaz,Amazonas,Revenda,906,24.7,1,35.2,Boleto
F3724,2025-01-02,12:48,209,451,91,215,20kg,0.59,5.7,Residencial,132.15,94.51,14.29,Acre-Rota-05,34,24.2,GLP Granel,Fogás,Acre,Revenda,152,26.2,1,16.4,PIX
F3177,2025-01-02,13:55,440,488,80,166,13kg,0.32,5.4,Industrial,136.22,114.54,32.35,Rondônia-Rota-03,110,98.5,GLP Industrial,Fogás,Rondônia,Revenda,406,24.7,1,39.0,Boleto
F9773,2025-01-02,14:08,377,872,88,205,13kg,0.46,6.1,Comercial,85.0,154.98,34.48,Amazonas-Rota-02,15,80.3,GLP Granel,Fogás,Amazonas,Revenda,754,25.8,5,36.7,Dinheiro
F2949,2025-01-02,20:04,134,636,91,291,45kg,0.31,7.3,Residencial,141.2,186.25,24.24,Amapá-Rota-06,71,17.9,GLP Comercial,Fogás,Amapá,Venda Direta,990,23.7,1,23.9,Boleto
F5523,2025-01-02,19:55,466,629,27,220,20kg,0.37,9.8,Comercial,127.97,170.3,13.76,Amazonas-Rota-04,48,15.0,GLP Granel,Fogás,Amazonas,Venda Direta,452,25.7,2,22.8,Boleto
F9224,2025-01-02,07:13,130,741,59,285,20kg,0.2,1.8,Residencial,86.62,187.08,24.15,Acre-Rota-06,19,34.9,GLP Granel,Fogás,Acre,E-commerce,964,24.1,4,29.7,Cartão
F1246,2025-01-02,12:59,224,570,25,294,20kg,0.16,10.0,Residencial,124.72,99.13,12.83,Rondônia-Rota-02,23,58.7,GLP Comercial,Fogás,Rondônia,Venda Direta,318,24.5,1,15.2,Cartão
F7726,2025-01-02,15:58,280,341,69,212,45kg,0.58,3.4,Comercial,94.73,192.16,34.59,Rondônia-Rota-05,111,13.5,GLP Granel,Fogás,Rondônia,Revenda,179,23.5,5,14.7,Cartão
F8415,2025-01-02,16:52,217,340,66,201,13kg,0.58,8.7,Residencial,123.86,110.27,37.34,Amapá-Rota-06,104,6.6,GLP Residencial,Fogás,Amapá,Revenda,770,24.3,1,10.1,Cartão
F4105,2025-01-02,13:24,211,661,49,280,45kg,0.49,2.5,Condomínio,83.71,112.83,32.27,Acre-Rota-05,85,99.7,GLP Industrial,Fogás,Acre,Venda Direta,458,25.8,3,26.1,PIX
F2669,2025-01-02,21:14,284,282,82,206,190kg,0.33,6.9,Residencial,76.88,123.86,30.91,Amapá-Rota-08,117,83.4,GLP Residencial,Fogás,Amapá,Revenda,972,25.9,1,3.7,Boleto
F5638,2025-01-02,21:52,57,985,39,295,190kg,0.12,5.4,Industrial,80.32,147.05,47.24,Acre-Rota-04,61,48.1,GLP Granel,Fogás,Acre,Revenda,83,26.9,2,28.9,Dinheiro
F7630,2025-01-02,07:25,372,763,66,158,20kg,0.21,9.1,Industrial,76.73,105.66,16.57,Rondônia-Rota-08,67,65.1,GLP Residencial,Fogás,Rondônia,Venda Direta,84,24.2,5,26.2,Boleto
F5757,2025-01-02,08:09,137,302,46,158,13kg,0.32,2.5,Residencial,121.33,181.87,42.38,Rondônia-Rota-02,114,40.3,GLP Industrial,Fogás,Rondônia,Venda Direta,475,23.5,3,14.1,Dinheiro
F5178,2025-01-02,06:42,298,654,48,126,190kg,0.32,8.6,Residencial,92.01,108.78,16.94,Amapá-Rota-08,112,83.4,GLP Comercial,Fogás,Amapá,E-commerce,347,24.2,4,29.8,Boleto
F5859,2025-01-02,17:31,328,785,78,179,190kg,0.49,7.5,Comercial,143.68,158.5,18.88,Rondônia-Rota-02,68,55.2,GLP Comercial,Fogás,Rondônia,Venda Direta,732,23.9,5,42.8,Boleto
F9866,2025-01-02,16:28,441,851,85,143,20kg,0.47,3.4,Comercial,77.97,160.88,18.5,Rondônia-Rota-09,66,15.3,GLP Industrial,Fogás,Rondônia,Revenda,296,26.1,5,2.8,Boleto
F4730,2025-01-03,11:40,170,801,31,144,190kg,0.46,3.5,Residencial,134.23,125.42,46.8,Amapá-Rota-01,26,16.1,GLP Granel,Fogás,Amapá,Revenda,103,20.9,4,45.3,Boleto
F3204,2025-01-03,08:49,414,987,42,298,20kg,0.24,1.5,Residencial,126.29,106.7,29.07,Roraima-Rota-07,17,41.9,GLP Residencial,Ultragaz,Roraima,Revenda,151,21.2,4,42.4,Boleto
F2488,2025-01-03,21:31,415,597,35,240,13kg,0.37,4.6,Residencial,137.0,180.07,23.24,Amazonas-Rota-08,18,58.3,GLP Residencial,Fogás,Amazonas,Venda Direta,384,20.8,4,24.5,PIX
