data,canal_marketing,investimento_marketing,roi_marketing,volume_vendas,ticket_medio,clientes_recorrentes,churn_rate,nps,custo_operacional,faturamento,inadimplencia
2022-01-01,Outdoor,22496.08,5.6,278,126.79,160,0.1163,70,92981.69,35247.62,0.1123
2022-01-02,TV,14139.62,6.82,212,144.42,2250,0.0253,99,84993.3,30617.04,0.146
2022-01-03,Rádio,31290.96,2.21,856,150.62,2859,0.0367,0,68605.74,128930.72,0.0938
2022-01-04,Outdoor,49625.89,7.0,996,104.36,2817,0.0984,36,39035.56,103942.56,0.0778
2022-01-05,Instagram,19623.0,0.75,2968,162.13,2977,0.1386,48,109249.18,481201.84,0.1423
2022-01-06,Rádio,28905.14,7.35,258,180.54,731,0.0696,34,136811.54,46579.32,0.1977
2022-01-07,Rádio,21072.39,1.39,885,108.08,818,0.0754,66,116644.74,95650.8,0.0274
2022-01-08,Outdoor,42439.95,5.34,1903,148.55,328,0.0395,34,22405.54,282690.65,0.0902
2022-01-09,Facebook Ads,45160.7,2.38,1939,163.57,412,0.0605,92,83002.71,317162.23,0.1887
2022-01-10,Instagram,43929.1,6.77,3268,78.52,1698,0.0465,8,126128.1,256603.36,0.0314
2022-01-11,Outdoor,48731.43,4.34,2398,99.89,1481,0.0558,36,90692.36,239536.22,0.1337
2022-01-12,Instagram,1862.2,1.51,4178,66.32,1248,0.008,59,68737.53,277084.96,0.0917
2022-01-13,Instagram,42070.9,4.78,1642,140.33,650,0.011,55,46259.22,230421.86,0.0816
2022-01-14,Rádio,37712.72,3.56,4308,170.14,1208,0.1037,88,52906.66,732963.12,0.0498
2022-01-15,TV,11820.37,5.46,4454,141.63,2391,0.1039,11,40112.74,630820.02,0.0435
2022-01-16,Instagram,47837.84,7.11,2254,76.97,1568,0.0529,70,33380.34,173490.38,0.1081
2022-01-17,WhatsApp,7834.81,3.57,674,131.96,1888,0.1334,70,90385.45,88941.04,0.0817
2022-01-18,Rádio,34137.72,2.67,3138,175.24,920,0.0436,3,78860.8,549903.12,0.1034
2022-01-19,Facebook Ads,11632.07,0.61,1481,95.41,1492,0.0624,60,111550.8,141302.21,0.0472
2022-01-20,TV,21853.34,4.81,1322,174.9,1391,0.111,44,49649.78,231217.8,0.0765
2022-01-21,WhatsApp,36098.41,3.52,2574,167.69,2170,0.1128,94,71819.49,431634.06,0.1993
2022-01-22,WhatsApp,28384.57,3.31,1601,53.26,2356,0.1299,49,103653.68,85269.26,0.0799
2022-01-23,Facebook Ads,21661.34,1.87,958,85.92,1431,0.0092,49,144668.9,82311.36,0.0884
2022-01-24,TV,16653.75,3.73,3674,131.44,1221,0.0316,73,55586.21,482910.56,0.0138
2022-01-25,Rádio,42063.15,7.88,3829,157.64,1298,0.0979,47,48240.29,603603.56,0.0824
2022-01-26,Google Ads,7618.81,2.73,3065,182.08,1178,0.054,22,70146.81,558075.2,0.155
2022-01-27,TV,21790.09,5.0,3291,146.16,2453,0.0113,89,109961.72,481012.56,0.108
2022-01-28,Facebook Ads,45236.0,6.32,1696,107.05,1611,0.09,86,144424.79,181556.8,0.1348
2022-01-29,WhatsApp,42369.55,6.12,1661,77.69,1334,0.062,92,82797.77,129043.09,0.1157
2022-01-30,Rádio,20346.62,2.97,2622,164.01,620,0.0578,7,122803.83,430034.22,0.03
2022-01-31,TV,38273.86,5.08,2699,81.02,2670,0.0433,82,72337.97,218672.98,0.0731
2022-02-01,Google Ads,41246.46,7.03,2491,154.31,2914,0.0059,28,10779.28,384386.21,0.1419
2022-02-02,Google Ads,44499.93,0.62,2775,77.18,1999,0.0314,42,134660.64,214174.5,0.1141
2022-02-03,Instagram,27453.04,3.77,2283,63.66,2027,0.0738,52,47032.32,145335.78,0.1382
2022-02-04,Instagram,10620.81,2.18,376,87.67,2030,0.045,5,25106.52,32963.92,0.0784
2022-02-05,Outdoor,13137.8,3.41,3982,92.74,496,0.1318,92,149443.42,369290.68,0.0468
2022-02-06,Facebook Ads,15136.89,3.62,3704,147.08,832,0.0257,23,55372.85,544784.32,0.1677
2022-02-07,TV,29893.22,6.1,2178,74.13,1330,0.1319,73,24798.05,161455.14,0.0815
2022-02-08,TV,2124.08,1.2,4442,189.55,993,0.0637,13,50173.62,841981.1,0.1345
2022-02-09,Outdoor,31984.1,4.34,4606,133.15,2993,0.045,51,79506.46,613288.9,0.0824
2022-02-10,WhatsApp,18535.53,4.73,4177,123.64,686,0.0491,69,17753.78,516444.28,0.1862
2022-02-11,WhatsApp,15114.47,4.21,4268,115.2,580,0.0529,3,56130.02,491673.6,0.1985
2022-02-12,Outdoor,44035.08,5.99,1220,134.99,168,0.0785,57,101984.18,164687.8,0.1333
2022-02-13,WhatsApp,23270.12,3.38,4868,53.37,115,0.0563,78,137810.14,259805.16,0.1244
2022-02-14,Instagram,5205.13,7.59,2623,198.51,2342,0.0988,36,62628.46,520691.73,0.1698
2022-02-15,TV,41423.97,4.11,3470,133.63,2154,0.0667,47,86861.82,463696.1,0.1081
2022-02-16,Outdoor,2858.24,4.78,4482,55.28,1117,0.1024,38,97229.02,247764.96,0.1752
2022-02-17,TV,36474.09,6.69,2008,138.5,2621,0.0926,91,15259.25,278108.0,0.0885
2022-02-18,Google Ads,38808.36,2.56,3620,115.56,1963,0.0404,65,54622.63,418327.2,0.0161
2022-02-19,Instagram,17953.83,1.06,4407,53.61,473,0.1229,12,104216.83,236259.27,0.1861
2022-02-20,Rádio,41327.0,5.81,4596,188.66,444,0.1209,65,111670.86,867081.36,0.1471
2022-02-21,Instagram,26025.14,4.12,4850,51.59,2547,0.1484,59,56613.06,250211.5,0.107
2022-02-22,Outdoor,23433.04,7.22,3205,136.68,1330,0.0304,40,5976.76,438059.4,0.1895
2022-02-23,Rádio,2747.46,7.87,597,194.27,2090,0.1279,31,5995.51,115979.19,0.1785
2022-02-24,Google Ads,14856.45,3.49,3687,85.64,1003,0.1314,51,83027.4,315754.68,0.0306
2022-02-25,Outdoor,46584.99,3.62,4293,88.13,1869,0.0981,4,84965.45,378342.09,0.1286
2022-02-26,Facebook Ads,19895.29,3.56,2513,50.06,1909,0.0784,66,85579.32,125800.78,0.1122
